timestamp,user_id,dense_reward,terminal_reward,episode_total_reward
2026-06-11T22:10:00+08:00,u_001,0.0,,
2026-06-11T22:11:00+08:00,u_001,-0.7379,,
2026-06-11T22:12:00+08:00,u_001,-0.5656,,
2026-06-11T22:13:00+08:00,u_001,-0.4276,,
2026-06-11T22:14:00+08:00,u_001,-0.2157,,
2026-06-11T22:15:00+08:00,u_001,-0.3872,,
2026-06-11T22:16:00+08:00,u_001,0.2995,,
2026-06-11T22:17:00+08:00,u_001,0.2393,,
2026-06-11T22:18:00+08:00,u_001,-0.1547,,
2026-06-11T22:19:00+08:00,u_001,0.3654,,
2026-06-11T22:20:00+08:00,u_001,0.0649,,
2026-06-11T22:21:00+08:00,u_001,-0.1646,,
2026-06-11T22:22:00+08:00,u_001,0.3364,,
2026-06-11T22:23:00+08:00,u_001,-0.9426,,
2026-06-11T22:24:00+08:00,u_001,0.3709,,
2026-06-11T22:25:00+08:00,u_001,-0.6313,,
2026-06-11T22:26:00+08:00,u_001,-0.3984,,
2026-06-11T22:27:00+08:00,u_001,0.1492,,
2026-06-11T22:28:00+08:00,u_001,0.1004,,
2026-06-11T22:29:00+08:00,u_001,-0.4038,,
2026-06-11T22:30:00+08:00,u_001,0.5387,,
2026-06-11T22:31:00+08:00,u_001,-0.4613,,
2026-06-11T22:32:00+08:00,u_001,0.4486,,
2026-06-11T22:33:00+08:00,u_001,-0.1064,,
2026-06-11T22:34:00+08:00,u_001,0.374,,
2026-06-11T22:35:00+08:00,u_001,-0.1348,,
2026-06-11T22:36:00+08:00,u_001,0.5038,,
2026-06-11T22:37:00+08:00,u_001,-0.3607,,
2026-06-11T22:38:00+08:00,u_001,-0.7515,,
2026-06-11T22:39:00+08:00,u_001,0.1661,,
2026-06-11T22:40:00+08:00,u_001,0.1959,,
2026-06-11T22:41:00+08:00,u_001,0.0053,,
2026-06-11T22:42:00+08:00,u_001,-0.2615,,
2026-06-11T22:43:00+08:00,u_001,-0.0934,,
2026-06-11T22:44:00+08:00,u_001,-0.8181,,
2026-06-11T22:45:00+08:00,u_001,1.3063,,
2026-06-11T22:46:00+08:00,u_001,-0.1824,,
2026-06-11T22:47:00+08:00,u_001,0.0819,,
2026-06-11T22:48:00+08:00,u_001,-0.1905,,
2026-06-11T22:49:00+08:00,u_001,0.1932,,
2026-06-11T22:50:00+08:00,u_001,0.3116,,
2026-06-11T22:51:00+08:00,u_001,-0.4218,,
2026-06-11T22:52:00+08:00,u_001,0.1834,,
2026-06-11T22:53:00+08:00,u_001,-0.021,,
2026-06-11T22:54:00+08:00,u_001,0.0199,,
2026-06-11T22:55:00+08:00,u_001,0.0773,,
2026-06-11T22:56:00+08:00,u_001,-0.0966,,
2026-06-11T22:57:00+08:00,u_001,0.2862,,
2026-06-11T22:58:00+08:00,u_001,-0.1408,,
2026-06-11T22:59:00+08:00,u_001,0.2632,,
2026-06-11T23:00:00+08:00,u_001,-0.4172,,
2026-06-11T23:01:00+08:00,u_001,0.3706,,
2026-06-11T23:02:00+08:00,u_001,-0.5547,,
2026-06-11T23:03:00+08:00,u_001,0.4413,,
2026-06-11T23:04:00+08:00,u_001,-0.0306,,
2026-06-11T23:05:00+08:00,u_001,0.2789,,
2026-06-11T23:06:00+08:00,u_001,-0.2995,,
2026-06-11T23:07:00+08:00,u_001,0.0226,,
2026-06-11T23:08:00+08:00,u_001,0.0905,,
2026-06-11T23:09:00+08:00,u_001,-0.1752,,
2026-06-11T23:10:00+08:00,u_001,-0.2622,,
2026-06-11T23:11:00+08:00,u_001,-0.0394,,
2026-06-11T23:12:00+08:00,u_001,0.2902,,
2026-06-11T23:13:00+08:00,u_001,-0.0385,,
2026-06-11T23:14:00+08:00,u_001,0.4676,,
2026-06-11T23:15:00+08:00,u_001,-0.3995,,
2026-06-11T23:16:00+08:00,u_001,0.0134,,
2026-06-11T23:17:00+08:00,u_001,0.4244,,
2026-06-11T23:18:00+08:00,u_001,-0.3767,,
2026-06-11T23:19:00+08:00,u_001,0.0025,,
2026-06-11T23:20:00+08:00,u_001,-0.0477,,
2026-06-11T23:21:00+08:00,u_001,0.0976,,
2026-06-11T23:22:00+08:00,u_001,-0.4465,,
2026-06-11T23:23:00+08:00,u_001,0.3053,,
2026-06-11T23:24:00+08:00,u_001,0.0847,,
2026-06-11T23:25:00+08:00,u_001,-0.376,,
2026-06-11T23:26:00+08:00,u_001,0.3922,,
2026-06-11T23:27:00+08:00,u_001,-0.1788,,
2026-06-11T23:28:00+08:00,u_001,-0.038,,
2026-06-11T23:29:00+08:00,u_001,0.7401,,
2026-06-11T23:30:00+08:00,u_001,-0.1004,,
2026-06-11T23:31:00+08:00,u_001,-0.3193,,
2026-06-11T23:32:00+08:00,u_001,-0.2623,,
2026-06-11T23:33:00+08:00,u_001,-0.1172,,
2026-06-11T23:34:00+08:00,u_001,0.162,,
2026-06-11T23:35:00+08:00,u_001,0.187,,
2026-06-11T23:36:00+08:00,u_001,0.041,,
2026-06-11T23:37:00+08:00,u_001,0.1388,,
2026-06-11T23:38:00+08:00,u_001,-0.5007,,
2026-06-11T23:39:00+08:00,u_001,0.304,,
2026-06-11T23:40:00+08:00,u_001,-0.4997,1.2,-1.6142
